Farm_ID,Soil_Type,Crop_Type,Regenerative_Practice,Climate_Region,Soil_Carbon_Initial,Carbon_Credits
1,sand,soybeans,crop rotation,tropical,12.797972848875858,11.59560639096032
2,sand,corn,cover crops,arid,24.55216822227939,6.098562845423863
3,clay,wheat,reduced-till,semi-arid,17.925715921117753,11.58344573820796
4,silt,soybeans,no-till,temperate,14.725493711537766,9.749827492761556
5,loam,cover crops,reduced-till,arid,28.793908475121626,11.459754559919697
6,silt,corn,reduced-till,temperate,18.20513876199377,6.19429587743424
7,loam,corn,reduced-till,temperate,12.848541129068913,13.55633360422935
8,clay,corn,reduced-till,temperate,19.3377039001338,12.27898763324989
9,loam,corn,reduced-till,arid,13.752497166755813,12.796126065509068
10,clay,soybeans,cover crops,semi-arid,10.447516531547054,7.213697460299636
11,silt,cover crops,crop rotation,arid,24.928524040882102,11.608386514252507
12,clay,cover crops,crop rotation,arid,29.869697654104762,7.51577033300297
13,silt,wheat,crop rotation,arid,12.995970163805897,10.9346467590879
14,clay,cover crops,no-till,arid,29.733912698063424,8.337102224336652
15,loam,soybeans,reduced-till,tropical,21.575985635460846,5.7870080266601
16,loam,cover crops,no-till,semi-arid,13.755107722134657,6.639865711581877
17,loam,corn,cover crops,tropical,27.446320215361283,11.456224419294152
18,loam,cover crops,crop rotation,arid,16.672048249226393,10.413973853396302
19,clay,wheat,reduced-till,tropical,27.294559626221524,12.426406041175209
20,clay,soybeans,cover crops,semi-arid,25.331058887614386,8.642592672707982
21,silt,corn,crop rotation,tropical,22.745350299904175,14.999859589561522
22,sand,cover crops,reduced-till,arid,10.508098093470199,8.534920089350987
23,silt,corn,crop rotation,arid,23.88650992003025,5.4850620651857795
24,silt,corn,cover crops,semi-arid,14.477103418740851,5.1051373552226575
25,loam,cover crops,cover crops,tropical,20.97778341009651,12.088934406100075
26,sand,wheat,no-till,arid,15.164722091665215,6.002326726623291
27,clay,cover crops,crop rotation,tropical,19.244891624232284,10.705537447414244
28,clay,corn,no-till,arid,24.516772175383338,7.056215020838279
29,silt,cover crops,no-till,tropical,20.24537861609705,8.184240896548772
30,clay,cover crops,reduced-till,semi-arid,22.654060384568673,13.6895096879481
31,loam,wheat,crop rotation,semi-arid,21.09517452213641,8.653805414226824
32,sand,cover crops,reduced-till,arid,16.98542910705809,8.698128068834171
33,loam,soybeans,cover crops,arid,15.786790920300247,14.479368375102657
34,silt,soybeans,crop rotation,semi-arid,14.646855025168657,8.814975633257927
35,loam,cover crops,cover crops,tropical,21.842195706893982,5.788765537547232
36,silt,cover crops,crop rotation,tropical,24.608623998879366,6.73095544525776
37,silt,soybeans,cover crops,tropical,14.86089201167237,12.124305666222162
