farm_size,crop_types,soil_practices,carbon_credits
380.7947176588889,Soybean,Cover Cropping,86.16932691621864
951.207163345817,Corn,No-till,148.17391413005234
734.6740023932911,Soybean,Cover Cropping,114.0231558393107
602.6718993550662,Soybean,Crop Rotation,120.73552274999307
164.45845403801215,Wheat,No-till,53.4332930505332
164.43457513284062,Wheat,Cover Cropping,48.270001585997974
67.50277604651747,Soybean,Cover Cropping,60.06506567862969
867.5143843171858,Wheat,Cover Cropping,129.36947621258642
605.1038616257767,Corn,No-till,123.33137537216322
710.9918520180851,Corn,Crop Rotation,112.26787902521964
30.378649352844423,Wheat,Cover Cropping,41.20729110540608
970.2107536403744,Corn,Cover Cropping,161.0304314939832
834.1182143924175,Wheat,Cover Cropping,110.05228064343478
220.2157195714934,Soybean,Cover Cropping,60.99280151623274
190.00671753502962,Soybean,Cover Cropping,66.98321246775741
191.5704647548995,Corn,Crop Rotation,57.19843827461157
311.1998205299424,Wheat,Crop Rotation,55.41852326016388
529.5088673159155,Wheat,Cover Cropping,94.13573185945677
437.62556845569463,Corn,No-till,107.1206135104844
298.3168487960615,Soybean,Crop Rotation,63.42334125154757
615.7343657751557,Corn,No-till,109.88754036940807
148.09892204552142,Soybean,Crop Rotation,43.333011947717836
299.22320204986596,Wheat,Cover Cropping,61.962551770929245
372.6982248607548,Soybean,Crop Rotation,83.10588328437734
461.50928437486556,Corn,Cover Cropping,91.96155714442313
787.3242017790834,Wheat,Crop Rotation,100.68251356860547
207.67704433677613,Corn,Cover Cropping,68.39132823691423
519.0920940294754,Corn,Cover Cropping,107.42114951280794
596.4904231734221,Soybean,Cover Cropping,94.03018568186792
55.98590859279775,Corn,Cover Cropping,37.31253866332414
611.4694033824239,Soybean,No-till,128.0551919369699
178.8188824504186,Wheat,Cover Cropping,39.09659474460939
74.40107705542673,Soybean,No-till,48.84988206698482
949.3966818807999,Wheat,No-till,137.2609533066667
965.9757127438138,Soybean,Cover Cropping,133.87329426193847
810.3133746352966,Corn,No-till,130.28222901697947
311.56763148163697,Soybean,Crop Rotation,71.92514482690963
106.69539286632003,Soybean,Cover Cropping,26.752322709504067
687.3906962470353,Wheat,No-till,96.07012490946502
445.7509688022053,Corn,Cover Cropping,90.01769074092384
130.81785249633106,Soybean,Cover Cropping,49.03961512989701
500.2251410101575,Corn,Cover Cropping,96.31662668377173
44.04463590406621,Soybean,No-till,51.680996416719665
910.2271980579942,Soybean,Crop Rotation,104.8635198510895
266.1921817840167,Corn,Crop Rotation,79.35562149991813
665.8970615104422,Soybean,No-till,106.60702732004073
318.59396532851684,Corn,Cover Cropping,68.20426468509163
524.8673409660327,Soybean,No-till,99.57028705619607
551.2431765498469,Wheat,No-till,96.19591993280713
193.00591097027177,Corn,No-till,81.26749927357356
969.888781486913,Soybean,Cover Cropping,139.70760977639148
777.3814951275034,Soybean,No-till,134.31925799299336
940.1039521485473,Wheat,Cover Cropping,119.62862146057768
895.8790769233724,Corn,No-till,141.00651824441223
601.9209790229743,Soybean,Crop Rotation,84.04462082904854
922.6554926728857,Wheat,No-till,133.24230782289138
97.6075770314003,Soybean,No-till,53.617878147121175
204.02303379495373,Corn,Crop Rotation,58.829329127486346
54.775016021432684,Soybean,Cover Cropping,43.99222607852694
332.0770274556317,Soybean,Cover Cropping,80.57159744740916
394.7905167925872,Soybean,No-till,68.40545510923293
278.63554145615694,Soybean,Crop Rotation,53.865675517773965
830.45013406041,Wheat,Cover Cropping,117.63929513858925
363.1857934266534,Wheat,No-till,64.53194844795284
288.1251645905069,Corn,Crop Rotation,69.27365752106114
547.269122326666,Wheat,Cover Cropping,89.21838702025585
149.51498272501502,Wheat,Cover Cropping,35.91393182197567
804.1750109464992,Corn,Crop Rotation,105.88584963210715
83.80513724297312,Wheat,Crop Rotation,12.142631368804658
987.0180672345122,Wheat,Crop Rotation,116.4951062266321
774.5223216036909,Corn,Crop Rotation,117.59546474247509
206.72852471883067,Corn,No-till,72.23473070129184
15.466895952366375,Corn,Crop Rotation,43.56568519152114
817.3068141702859,Soybean,Cover Cropping,113.95149329035479
709.788770409141,Soybean,Cover Cropping,110.7958422006992
731.7170963605774,Corn,No-till,127.14415572847227
773.5576432190862,Corn,Cover Cropping,109.6754088268971
83.30420521674945,Corn,Cover Cropping,54.563711265580345
364.8810712588299,Soybean,Crop Rotation,78.0529192442339
124.71036892987841,Soybean,Cover Cropping,47.56331559475903
864.4723916168376,Wheat,No-till,137.0695824651798
627.0651455592823,Wheat,Crop Rotation,88.03217111767853
337.5890446041227,Corn,Crop Rotation,65.15829590918153
72.9227667831634,Soybean,No-till,57.86068846384555
317.8724984985056,Soybean,Crop Rotation,87.12018754451512
331.9314888064796,Soybean,Crop Rotation,69.04668506952605
732.3101165546834,Corn,No-till,129.58008969660554
641.181896641661,Wheat,Crop Rotation,89.03101745318766
888.3406151505633,Corn,No-till,126.41789931709606
477.4927759103298,Wheat,No-till,89.41193405004032
128.3983034789187,Wheat,Cover Cropping,51.08383006577098
716.1123393507651,Corn,Cover Cropping,113.03212303126489
763.1771981307285,Wheat,Crop Rotation,112.62828499328792
565.6644255938013,Wheat,Crop Rotation,80.02564246123694
773.2575081550153,Soybean,No-till,113.30488815698412
498.85764040074685,Wheat,Crop Rotation,90.49219334493634
527.5055010881741,Corn,No-till,113.40402637423371
433.26560817496414,Corn,No-till,86.98312975913963
35.164935476654236,Wheat,Crop Rotation,50.704998451713635
116.81251272337141,Soybean,No-till,53.81018434703465
41.11489382986691,Soybean,Cover Cropping,44.95931802942628
640.0463071511426,Wheat,Crop Rotation,93.15810529662998
321.2124212655634,Wheat,Cover Cropping,72.35884430101315
513.4849842530557,Corn,Crop Rotation,94.06271336331498
908.490809186832,Wheat,No-till,133.42870253449982
256.7993068573862,Soybean,Crop Rotation,50.48431436853976
416.2790938052734,Wheat,Cover Cropping,59.742286212630496
757.9956271576182,Corn,No-till,137.22116299829045
236.51018383670623,Corn,Crop Rotation,58.19655839427319
86.21011073050506,Corn,Crop Rotation,48.13067733871573
296.85393838463034,Corn,Crop Rotation,72.95338293736084
169.60907438146438,Corn,Cover Cropping,78.25100347163911
930.4006758191473,Wheat,Cover Cropping,129.65364682833982
810.0391757687728,Wheat,Crop Rotation,107.05594194763631
637.0697189453192,Wheat,No-till,98.47152808166337
872.7459842858406,Wheat,No-till,126.90103001616467
805.6353561301233,Corn,Cover Cropping,116.46988791660621
194.70435829717547,Soybean,No-till,64.75919306120764
893.633408505078,Wheat,Cover Cropping,123.84314396592767
543.9488194964943,Soybean,Crop Rotation,105.81015143609095
809.3657536124219,Wheat,Cover Cropping,115.10056397533299
897.1303869242583,Wheat,Cover Cropping,105.46815708193733
324.8234402221452,Soybean,Crop Rotation,94.21745372617931
118.95140528239999,Corn,No-till,71.46347783980097
235.65581091652226,Wheat,Cover Cropping,79.38906853260808
432.83671073999375,Wheat,Cover Cropping,66.71047120415454
819.8346182632682,Wheat,Crop Rotation,109.76519401376392
862.12327742378,Soybean,No-till,137.95634015732122
16.882609225878795,Corn,Cover Cropping,52.05217464543247
515.6398295517901,Soybean,Crop Rotation,89.63336002877452
423.2368931172912,Soybean,Cover Cropping,60.32758212672357
229.88673236602295,Corn,Crop Rotation,45.86427866095916
128.66671366034598,Soybean,No-till,73.04187245667332
344.23901968959166,Corn,No-till,101.37719729765607
943.480606873394,Wheat,No-till,133.28154777297544
329.9709027005477,Corn,No-till,96.9013650141186
523.6027155259325,Wheat,Cover Cropping,77.12799389116026
705.9887693062261,Soybean,Cover Cropping,102.6546163959358
369.99330635550103,Soybean,No-till,70.97652741691861
972.0642618937511,Wheat,No-till,128.70723073248865
962.8228219926901,Soybean,No-till,148.5092422944952
259.2644728671105,Corn,Cover Cropping,62.30292355607661
502.2760208334616,Wheat,No-till,112.62503248262482
307.86952671860195,Soybean,No-till,80.38765873533457
291.9920894336929,Wheat,No-till,80.04447940832017
46.51807788098747,Corn,Crop Rotation,49.55121361609948
613.4686906400979,Corn,No-till,123.48956556860257
507.6522329965729,Soybean,Crop Rotation,77.08522330427182
60.96396373748946,Corn,Crop Rotation,60.565731755744515
285.8599995942453,Wheat,No-till,69.9953888153389
909.1832271069871,Corn,Crop Rotation,143.0109838203861
247.1662717603027,Wheat,No-till,50.32098664226843
153.44592337031085,Wheat,Cover Cropping,52.15042440311472
494.5582326747874,Corn,Cover Cropping,95.90821043529539
985.7939495694947,Soybean,Cover Cropping,132.38703030715504
249.6347187963854,Corn,Cover Cropping,73.0946601771112
675.4141919318198,Wheat,Crop Rotation,112.93748767319713
764.0034191754304,Wheat,No-till,109.43881832791183
245.26116855247568,Corn,No-till,84.14466041729695
730.934185125741,Soybean,No-till,106.81918795110903
374.1053013920607,Soybean,Cover Cropping,98.50497608563066
635.9827722876437,Wheat,Cover Cropping,106.44428041313145
637.1944136532858,Wheat,No-till,120.97061468791429
540.4169372340109,Soybean,Cover Cropping,100.76229891433877
99.38687235386422,Corn,No-till,63.84481901268004
836.9494706333456,Wheat,No-till,131.62427646819376
327.5722643220185,Wheat,No-till,71.39275179866014
194.6533252958557,Soybean,No-till,48.286993474002344
50.367390139216276,Corn,No-till,59.51073247858956
594.9840137563594,Soybean,No-till,96.9433680296384
680.7887182238596,Corn,No-till,107.06225266859194
26.42195063857759,Corn,Cover Cropping,54.00512674824385
516.9721277162882,Corn,No-till,98.90612802263189
234.23081744595856,Wheat,No-till,73.70012581065276
648.7210625053553,Soybean,Cover Cropping,96.98269856294483
